"idcultivo","nombre","extraccioncosechan","extraccioncosechap","extraccioncosechak","extraccioncosechas","extraccioncosechaca","extraccioncosechamg","extraccioncosechab","contenidocosechac","extraccionresiduon","extraccionresiduop","extraccionresiduok","extraccionresiduos","extraccionresiduoca","extraccionresiduomg","extraccionresiduob","contenidoresiduoc","borradologico","indice_cosecha","ms_cosecha","ms_residuo","humedad","precio","cef_n","cef_p","cef_k","grupo"
10,AVENA,0.025,0.0142,0.03323,,,,,0.4,0.007,0.0023,0.0181,,,,,0.4,,0.45,0.88,0.89,12.0,0.0,1.0,1.0,2.492,1
17,CEBADA 2,0.023,0.0095,0.0066,,,,,0.4,0.007,0.0021,0.0244,,,,,0.4,,0.45,0.88,0.89,12.0,224.0,1.0,1.0,2.23,1
18,CEBADA 6,0.016,0.0042,0.0054,,,,,0.4,0.007,0.0021,0.0244,,,,,0.4,,0.45,0.88,0.89,12.0,0.0,1.0,1.0,2.23,1
20,CENTENO,0.022,0.0037,0.0052,,,,,0.4,0.005,0.0021,0.0118,,,,,0.4,,0.45,0.88,0.89,12.0,0.0,1.0,1.0,1.0,1
22,COLZA,0.043,0.0142,0.012,,,,,0.4,0.008,0.009,0.015,,,,,0.4,,0.35,0.9,0.7,12.0,0.0,1.0,1.0,1.877,5
27,GIRASOL,0.0295,0.014427,0.008784,,,,,0.44,0.008,0.003206,0.019257,,,,,0.42,,0.3,0.8,0.52,9.0,0.0,1.0,1.0,1.427,5
28,GUISANTE,0.043,0.0124,0.028,,,,,0.4,0.012,0.032,0.0159,,,,,0.35,,0.45,0.89,0.88,12.0,0.0,1.0,1.0,1.0,4
29,GUISANTE VERDEO,0.043,0.0124,0.0325,,,,,0.4,0.0141,0.042,0.01389,,,,,0.4,,0.6,0.22,0.86,12.0,0.0,1.0,1.0,1.0,4
33,LENTEJA,0.043,0.0124,0.028,,,,,0.4,0.012,0.032,0.0159,,,,,0.4,,0.6,0.8,0.89,12.0,0.0,1.0,1.0,1.0,4
37,MAIZ GRANO,0.01,0.0068,0.0026,,,,,0.42,0.0087,0.0017,0.0091,,,,,0.4,,0.45,0.82,0.8,14.0,0.0,1.0,1.0,1.0,1
39,PATATA,0.0137718,0.0057,0.0180684,,,,,0.4,0.0137,0.0046,0.02628,,,,,0.4,,0.82,0.22,0.35,12.0,0.0,1.0,1.0,1.0,6
43,REMOLACHA DE MESA,0.0176,0.002748,0.02928,,0.0251982,0.010777,,0.415,0.012,0.0046,0.0282,,,,,0.4,,0.6,0.12,0.1,88.0,0.0,1.0,1.0,1.0,6
44,REMOLACHA AZUCARERA,0.0082752,0.00325,0.01270801,,,,,0.42,0.012,0.0046,0.0242,,,,,0.4,,0.8,0.2,0.1,12.0,0.0,1.0,1.0,1.0,6
47,SOJA,0.065,0.0151,0.0183,0.0,0.0,0.0,0.0,0.0,0.0085,0.014,0.007,0.0,0.0,0.0,0.0,0.0,,0.5,0.88,0.89,12.0,0.0,1.0,1.0,1.0,4
49,SORGO GRANO,0.0149,0.0021,0.002,,,,,0.42,0.00617,0.0017,0.0091,,,,,0.4,,0.45,0.82,0.8,12.0,0.0,1.0,1.0,1.0,1
58,ADORMIDERA 103,0.01336,0.017,0.0232,,,,,0.34,0.0134,0.0083,0.0228,,,,,0.4,,0.25,0.87,0.88,12.0,0.0,1.0,1.0,1.0,5
59,ADORMIDERA 305,0.01336,0.017,0.0232,,,,,0.32,0.0134,0.0083,0.0228,,,,,0.4,,0.25,0.87,0.88,12.0,0.0,1.0,1.0,1.0,5
60,GARBANZO,0.033,0.0112,0.0213,,,,,0.4,0.012,0.032,0.0159,,,,,0.4,,0.9,0.82,0.89,12.0,0.0,1.0,1.0,1.0,4
4,AJO,0.0286,0.0101,0.01138,,,,,0.28,0.003,0.0021,0.01704,,,,,0.0052,,0.55,0.48,0.74,12.0,0.0,1.0,1.0,1.0,3
72,ALMENDRO,0.068,0.0122,0.057,,,,,0.45,,,,,,,,0.0,false,1.0,1.0,0.0,,,1.0,1.0,1.0,5
8,APIO,0.024,0.0142,0.323,,,,,0.35,,,,,,,,0.0,,1.0,0.05,0.0,12.0,0.0,1.0,1.0,1.0,3
73,CEBOLLA FRESCA,0.01417,0.011126,0.0221,,,,,0.28,0.0062,0.0006011,0.000138,,,,,0.0,false,0.74,0.16,0.35,,,1.0,1.0,1.0,3
36,MAIZ FORRAJERO,0.0125,0.0046,0.0087,,,,,0.42,0.000001,0.000001,0.000001,,,,,0.0,,0.98,0.3,0.8,14.0,0.0,1.0,1.0,1.0,2
42,PUERRO,0.014,0.0021,0.0106,,,,,0.36,,,,,,,,0.0,,0.6,0.1,0.38,12.0,0.0,1.0,1.0,1.0,3
45,REPOLLO,0.033,0.0035,0.0273,,,,,,,,,,,,,0.0,,0.85,0.36,0.12,12.0,0.0,1.0,1.0,1.0,3
48,SORGO FORRAJE,0.01,0.0035,0.0042,,,,,0.42,0.000001,0.000001,0.000001,,,,,0.0,,0.98,0.3,0.8,12.0,0.0,1.0,1.0,1.0,2
76,VID,0.00182,0.000803,0.00587,,,,,0.45,0.01028,0.0122,0.0411,,,,,0.0,false,0.83,0.29,0.84,,,1.0,1.0,1.0,7
6,ALFALFA,0.025,0.0142,0.02223,,,,,0.38,0.00001,0.00001,0.00001,,,,,0.4,,0.9,0.88,0.88,12.0,0.0,1.0,1.0,1.0,2
74,PATATA FRITURA,0.0140058,0.006284111,0.0173884,,,,,0.4,0.01475,0.00546,0.02828,,,,,0.4,false,0.82,0.22,0.35,12.0,0.0,1.0,1.0,1.0,6
75,PATATA SNACK,0.01418,0.006183243,0.022587,,,,,0.4,0.0185,0.005266,0.02828,,,,,0.4,false,0.82,0.22,0.35,12.0,0.0,1.0,1.0,1.0,6
63,BARBECHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
16,CARTAMO,0.027,0.0142,0.012,,,,,0.4,0.008,0.009,0.0125,,,,,0.0,,0.41,0.84,0.85,12.0,0.0,1.0,1.0,1.0,5
12,BROCOLI,0.048192,0.0151,0.04193,,,,,0.34,0.03432,0.0053,0.048,,,,,0.0,,0.85,0.36,0.12,12.0,0.0,1.0,1.0,1.0,3
19,CEBOLLA,0.0147,0.010966,0.0238,,,,,0.26,0.0062,0.000621,0.00015,,,,,0.0,,0.8,0.125,0.25,12.0,0.0,1.0,1.0,1.0,3
21,COLIFLOR,0.044,0.0066,0.0322,,,,,,,,,,,,,0.0,,0.85,0.36,0.12,12.0,0.0,1.0,1.0,1.0,3
25,ESPINACA,0.056,0.0128,0.0691,,,,,0.3,,,,,,,,0.0,,1.0,0.1,0.0,12.0,0.0,1.0,1.0,1.0,3
30,JUDIA VERDE,0.04,0.0054,0.027,,,,,,,,,,,,,0.0,,0.68,0.075,0.34,12.0,0.0,1.0,1.0,1.0,3
34,LINO,0.038,0.0057,0.0084,,,,,,,,,,,,,0.0,,,,,12.0,0.0,1.0,1.0,1.0,5
38,MELON,0.009,0.0016,0.0258,,,,,,,,,,,,,0.0,,,,,12.0,0.0,1.0,1.0,1.0,3
53,TRIGO BLANDO,0.021,0.0096,0.0061,,,,,0.4,0.0065,0.00145,0.0143,,,,,0.42,,0.45,0.87,0.89,12.0,0.0,1.0,1.0,2.12,1
54,TRIGO DURO,0.033,0.0103,0.0087,,,,,0.42,0.0075,0.0027,0.0138,,,,,0.42,,0.47,0.87,0.89,12.0,0.0,1.0,1.0,1.0,1
55,TRITICALE,0.023,0.0096,0.0066,,,,,0.4,0.012,0.0032,0.0159,,,,,0.4,,0.45,0.88,0.89,12.0,0.0,1.0,1.0,1.0,1
56,VEZA GRANO,0.043,0.0142032,0.018208,,,,,0.4,0.012,0.0048124,0.0159,,,,,0.4,,0.5,0.8,0.89,12.0,0.0,1.0,1.0,1.0,4
57,ZANAHORIA,0.015,0.0076,0.0269,0.0,0.0,0.0,0.0,0.4,0.0235,0.0044,0.0226,0.0,0.0,0.0,0.0,0.43,,0.8,0.12,0.1,12.0,0.0,1.0,1.0,1.0,3
61,YEROS GRANO,0.043,0.0142032,0.018208,,,,,0.4,0.012,0.0048124,0.0159,,,,,0.4,,0.5,0.8,0.89,12.0,,1.0,1.0,1.0,4
62,VEZA FORRAJE,0.043,0.0190156,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,2
71,ADORMIDERA 201,0.040036,0.019,0.0232,,,,,0.33,0.0394,0.0053,0.107898106,,,,,0.4,,0.5,0.86,0.88,,,1.0,1.0,1.0,5
80,ESPELTA,0.021,0.0096,0.0061,,,,,0.4,0.0065,0.00145,0.0143,,,,,0.42,,0.45,0.87,0.89,12.0,0.0,1.0,1.0,2.12,1
81,CAMELINA,0.045,0.0032,0.019,0.0,0.0,0.0,0.0,0.0,0.012,0.006,0.01,0.0,0.0,0.0,0.0,0.0,,0.24,0.45,0.55,12.0,0.0,1.0,1.0,1.0,5
35,MAIZ DULCE,0.0135,0.0045,0.00114,0.0,0.0,0.0,0.0,0.42,0.0122,0.002,0.0148,0.0,0.0,0.0,0.0,0.4,,0.52,0.28,0.8678,14.0,0.0,1.0,1.0,1.0,1
83,CEBADA 2 CC,0.023,0.0095,0.0066,,,,,0.4,0.007,0.0021,0.0244,,,,,0.4,,0.45,0.88,0.89,12.0,224.0,1.0,1.0,2.23,1
84,CEBADA 2 CL,0.023,0.0095,0.0066,,,,,0.4,0.007,0.0021,0.0244,,,,,0.4,,0.45,0.88,0.89,12.0,224.0,1.0,1.0,2.23,1
85,MAIZ GRANO CC,0.01,0.0068,0.0026,,,,,0.42,0.0087,0.0017,0.0091,,,,,0.4,,0.45,0.82,0.8,14.0,0.0,1.0,1.0,1.0,1
86,MAIZ GRANO CL,0.01,0.0068,0.0026,,,,,0.42,0.0087,0.0017,0.0091,,,,,0.4,,0.45,0.82,0.8,14.0,0.0,1.0,1.0,1.0,1
87,CEBADA 6 CC,0.016,0.0042,0.0054,,,,,0.4,0.007,0.0021,0.0244,,,,,0.4,,0.45,0.88,0.89,12.0,0.0,1.0,1.0,2.23,1
88,CEBADA 6 CL,0.016,0.0042,0.0054,,,,,0.4,0.007,0.0021,0.0244,,,,,0.4,,0.45,0.88,0.89,12.0,0.0,1.0,1.0,2.23,1
